job_01_title_textfield	job_02_company_textfield	job_03_location_textfield	job_04_category_dropdown	job_05_type_dropdown	job_06_exp_dropdown	job_07_salary_min_textfield	job_08_salary_max_textfield	job_11_remote_switch	job_09_desc_textfield	job_10_skills_textfield
invalid	invalid	invalid	"Engineering"	"Freelance"	"Junior"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Healthcare"	"Contract"	"Mid-Level"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Healthcare"	"Freelance"	"Senior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Education"	"Contract"	"Entry_Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"IT_&_Tech"	"Part-time"	"Entry_Level"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Finance"	"Freelance"	"Mid-Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Engineering"	"Internship"	"Entry_Level"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Marketing"	"Contract"	"Senior"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"IT_&_Tech"	"Full-time"	"Mid-Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Marketing"	"Freelance"	"Junior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Education"	"Freelance"	"Junior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"IT_&_Tech"	"Contract"	"Junior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Marketing"	"Internship"	"Mid-Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Education"	"Internship"	"Senior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Healthcare"	"Part-time"	"Junior"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Marketing"	"Part-time"	"Mid-Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Engineering"	"Contract"	"Mid-Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Finance"	"Full-time"	"Entry_Level"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Healthcare"	"Internship"	"Entry_Level"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Engineering"	"Full-time"	"Senior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Healthcare"	"Full-time"	"Junior"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Education"	"Part-time"	"Mid-Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Finance"	"Internship"	"Junior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"IT_&_Tech"	"Freelance"	"Entry_Level"	invalid	invalid	on	invalid	invalid
invalid	invalid	invalid	"Marketing"	"Full-time"	"Entry_Level"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"IT_&_Tech"	"Internship"	"Senior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Finance"	"Part-time"	"Senior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Engineering"	"Part-time"	"Senior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Finance"	"Contract"	"Junior"	invalid	invalid	off	invalid	invalid
invalid	invalid	invalid	"Education"	"Full-time"	"Entry_Level"	invalid	invalid	on	invalid	invalid
